LCDN/PRCD,Type 1,Type 2,Sigla,Vocab,Complex cases,,
Biblioteca Nazionale,M,,,,,,
Biblioteca Nazionale Centrale,M,,,,,,
Bigazzi,A,,,,,,
Bigetti,A,,,,,,
Bigli Art Broker,A,,,,,,
"Bignor Park, collezione Mersey",B,C,,,,,
Birmingham Museum and Art Gallery,M,,,,,,
Birmingham Museum of Art,M,,,,,,
Birtschansky,A,,,,,,
Bisato,A,,,,,,
Bisetti,A,,,,,,
Bishop Burton Parochial Church Council,B,,,,,,
Blackfriars,B,,,,,,
"Blaise Castle, collezione Harford",B,C,,,,,
Blakeslee Galleries,A,,,,,,
Blumka Gallery,A,,,,,,
Bob Jones University Museum and Gallery,M,,,,,,
Bogstad Gård,M,,,,,,
Böhler,A,,,,,,
Bolton Museum and Art Gallery,M,,,,,,
Bolton-Bottenwieser,A,,,,,,
Bonnefantenmuseum,M,,,,,,
Bonnet,A,,,,,,
Bonsanti,A,,,,,,
Boord,A,,,,,,
Bossi,A,,,,,,
Boston Athenaeum,M,,,,,,
Bottega d'Arte Livorno,A,,,,,,
Bottegantica,A,,,,,,
"Boughton House, collezione Duke of Buccleuch",B,C,,,,,
Bourgeois Galleries,A,,,,,,
Boutique S. Trinità,B,,,,,,
Bowater Corporation,M,,,,,,
Bowdoin College Museum of Art,M,,,,,,
"Bowood House, collezione marchese di Lansdowne",B,C,,,,,
BPER Banca,B,C,,,,,
Bracciaforte,A,,,,,,
Brancaglia,A,,,,,,
Brandi (?),A,,,,,,
Brass,A,,,,,,
Brauer,A,,,,,,
Brefotrofio,B,,,,,,
"Bretby Hall, collezione conte di Chesterfield",B,C,,,,,
"Bretton Hall, collezione Wentworth C. B. Beaumont",B,C,,,,,
"Bretton Hall, collezione Wentworth H. C. Beaumont",B,C,,,,,
Brianzi,A,,,,,,
Bridgestone Museum of Art,M,,,,,,
"Bridgewater House, collezione conte di Ellesmere",B,C,,,,,
"Bridgewater House, Collezione conte di Ellesmere",B,C,,,,,
Brimo de Laroussilhe,A,,,,,,
Brisigotti,A,,,,,,
Brison,A,,,,,,
Bristol Museum and Art Gallery,M,,,,,,
British Library,M,,,,,,
The British Museum,M,,,,,,
"Broadlands Estate, collezione contessa Mountbatten of Burma",B,C,,,,,
"Broadlands Estate, collezione Temple",B,C,,,,,
"Brocklesby Park, collezione conte di Yarborough",B,C,,,,,
"Brook House, collezione H. Klein",B,C,,,,,
Brooklyn Museum of Art,M,,,,,,
"Broomford Manor, collezione L.J. White-Thomson",B,C,,,,,
Brownsover Hall,B,,,,,,
"Bruern Abbey, collezione M. Astor",B,C,,,,,
Brummer,A,,,,,,
Brummer Gallery,A,,,,,,
Brunelli,A,,,,,,
Brunelli Antichità,A,,,,,,
Brunner,A,,,,,,
Bruno Meissner Kunsthandel,A,,,,,,
Bruschetti,A,,,,,,
Bruschi,A,,,,,,
Bruscoli,A,,,,,,
Brussels Art Auctions,AH,,,,,,
Bruzzichelli,A,,,,,,
"Bryan's Gallery, Peter Coxe, Burrell, and Foster",A,,,,,,
Bryn Mawr College,M,,,,,,
Buchanan,A,,,,,,
Buckingham Palace,B,,,,,,
Bucknell University Art Gallery,M,,,,,,
Buertel,A,,,,,,
"Burg Kreuzenstein, collezione Wilczek",B,C,,,,,
"Burghley House, collezione Exeter",B,C,,,,,
Burlington House,B,,,,,,
"Buscot Park, The Faringdon Collection",B,C,,,,,
Butterfly Institute Fine Art,M,,,,,,
C. A. Signol,A,,,,,,
C. Benedict,A,,,,,,
C. Benucci,A,,,,,,
C. Broglio,A,,,,,,
"C. Caldesi, eredi",C,,,,,,
C. Castelli,A,,,,,,
C. De Carlo,A,,,,,,
"C. De Carlo, eredi",C,,,,,,
C. Delmas,A,,,,,,
C. Duits,A,,,,,,
C. Foresti,A,,,,,,
C. Gibbs,A,,,,,,
C. Huggins,A,,,,,,
C. Humphreys,A,,,,,,
C. Humphris,A,,,,,,
C. Nigro,A,,,,,,
C. Sedelmeyer,A,,,,,,
C. Sestieri,A,,,,,,
C. Sestieri/ Weitzner,A,,,,,,
C. Whitfield,A,,,,,,
C.A. Reichel,A,,,,,,
C.D. Stillman,A,,,,,,
Ca' d'Oro - Galleria Giorgio Franchetti,M,,,,,,
Ca' Falier,B,,,,,,
Ca' Granda,B,,,,,,
Ca' Pesaro,ERR,,,,,,
Ca' Pesaro - Galleria Internazionale d'Arte Moderna,M,,,,,,
Ca' Rezzonico,M,,,,,,
Cabot Lodge Collection,C,,,,,,
Cailleux,A,,,,,,
Caldani,A,,,,,,
Cambi Casa d'aste,AH,,,,,,
Camera di Commercio,B,,,,,,
Campanile della Cattedrale di S. Maria Assunta,B,,,,,,
Campanile di S. Marco,B,,,,,,
Campanile di S. Maria del Fiore,B,,,,,,
Campidoglio,B,,,,,,
"Campidoglio, Palazzo Senatorio",B,B,,,,,
Campo dei SS. Giovanni e Paolo,B,,,,,,
Campo S. Zaccaria,B,,,,,,
Campo SS. Giovanni e Paolo,B,,,,,,
Camposanto,B,,,,,,
Camposanto teutonico,B,,,,,,
Candiani,A,,,,,,
Canessa,A,,,,,,
"Canford Manor, collezione Guest",B,C,,,,,
"Canford Manor, collezione Wimborne",B,C,,,,,
Canto di Monteloro,B,,,,,,
"Capel Manor, Collezione J.F. Austen",B,C,,,,,
"Capel Manor, collezione J.F. Austen",B,C,,,,,
"Capesthorne Hall, collezione Bromley Davenport",B,C,,,,,
"Capesthorne Hall, collezione W. Bromley-Davenport",B,C,,,,,
Capilla Real,B,,,,,,
Cappella a Cà di Lando,B,,,,,,
Cappella Colleoni,B,,,,,,
Cappella degli Scrovegni//Cappella dell'Arena,B,,,,,,
Cappella dei Cavalieri Teutonici,B,,,,,,
Cappella dei SS. Fabiano e Sebastiano,B,,,,,,
Cappella dei SS. Pietro e Paolo,B,,,,,,
Cappella del Cimitero,B,,,,,,
Cappella del Monte di Pietà,B,,,,,,
Cappella del Vanese,B,,,,,,
Cappella dell'Arte della Lana,B,,,,,,
Cappella della Compagnia dei Fiorentini,B,,,,,,
Cappella della Madonna del Terrazzo,B,,,,,,
Cappella della Madonna della Neve,B,,,,,,
Cappella della Madonna di Braccio,B,,,,,,
Cappella della Madonna di Loreto,B,,,,,,
Cappella della Misericordia,B,,,,,,
Cappella della Pia Congregazione dei banchieri e dei mercanti,B,,,,,,
Cappella della Piaggiola,B,,,,,,
Cappella della Vigna di S. Balbina,B,,,,,,
Cappella di Missione,B,,,,,,
Cappella di Monte,B,,,,,,
Cappella di S. Antonio Abate,B,,,,,,
Cappella di S. Bernardo,B,,,,,,
Cappella di S. Galgano,B,,,,,,
Cappella di S. Jacopo,B,,,,,,
Cappella di S. Lanno,B,,,,,,
Cappella di S. Lucia,B,,,,,,
Cappella di S. Magno,B,,,,,,
Cappella di S. Maria Assunta//Cappella di Madonna Lunga,B,,,,,,
Cappella di S. Maria degli Angeli,B,,,,,,
Cappella di S. Maria della Stella,B,,,,,,
Cappella di S. Maria delle Vigne,B,,,,,,
Cappella di S. Michele,B,,,,,,
Cappella di S. Pio V,B,,,,,,
Cappella di S. Rocco,B,,,,,,
Cappella di S. Sebastiano,B,,,,,,
Cappella di S. Stefano,B,,,,,,
Cappella di S. Tommaso ai Cenci,B,,,,,,
Cappella di S. Uberto,B,,,,,,
Cappella Grassi,B,,,,,,
Cappella Passalacqua,B,,,,,,
Cappella Sansevero,B,,,,,,
Cappella Sistina,B,,,,,,
Cappella Tega//Cappella di S. Anna,B,,,,,,
Cappellone,B,,,,,,
Cardinale Despuig,C,,,,,,
Cardinale Giacomo Franzoni,C,,,,,,
Carfax Gallery,A,,,,,,
Carlo Orsi Antichità,A,,,,,,
Carnegie Museum of Art,M,,,,,,
Cartwright Hall Art Gallery,M,,,,,,
Casa Bellacci,B,,,,,,
Casa Bicchierai,B,,,,,,
Casa Bozzotti,B,,,,,,
Casa Buonarroti,B,,,,,,
Casa Caprara,B,,,,,,
Casa Casati,B,,,,,,
Casa Cavassa,B,,,,,,
Casa Cenci,B,,,,,,
Casa Colluzio,B,,,,,,
Casa Colonna,B,,,,,,
Casa Crivelli,B,,,,,,
Casa d'Anna d'Alençon,B,,,,,,
Casa d'aste Kende,AH,,,,,,
Casa d'aste Michelangelo,AH,,,,,,
"Casa de Pilatos, collezione duca di Medinaceli",B,C,,,,,
Casa dei Della Chiesa,B,,,,,,
Casa dei PP. Filippini all'Olivella,B,,,,,,
Casa del Boccaccio,B,,,,,,
Casa del Clero,B,,,,,,
Casa del Mutilato,B,,,,,,
Casa dello Zecchiere,B,,,,,,
casa di Felicissimo Cellerani,B,,,,,,
Casa di Ludovico Ariosto,B,,,,,,
"Casa di riposo ""A. Chierichetti""",B,,,,,,
Casa di riposo ed Istituzioni Riunite in Campansi,B,,,,,,
Casa di riposo SS. Giovanni e Paolo,B,,,,,,
Casa di S. Alfonso Maria de' Liguori,B,,,,,,
Casa di S. Ubaldo,B,,,,,,
Casa di S.A.R. il duca di Spoleto,B,,,,,,
Casa di via Cammello 29,B,,,,,,
Casa Egidi,B,,,,,,
Casa Ferri,B,,,,,,
Casa Giorgi,B,,,,,,
Casa Giuliani,B,,,,,,
Casa Gobbato,B,,,,,,
Casa in via dell'Arco de'Ginnasi,B,,,,,,
Casa Isolani,B,,,,,,
Casa Madre dei Mutilati e delle Vedove di Guerra,B,,,,,,
Casa Martelli,B,,,,,,
Casa Mazzi,B,,,,,,
Casa Meli,B,,,,,,
Casa Minerbi,B,,,,,,
Casa Museo Boschi Di Stefano,M,,,,,,
Casa Museo Mario Praz,M,,,,,,
Casa Natale di Raffaello,M,,,,,,
Casa Oriani,B,,,,,,
Casa Pannini,B,,,,,,
Casa parrocchiale,B,,,,,,
Casa Patini,B,,,,,,
Casa per orfani del Collegio dei Notari (ex),B,,,,,,
Casa Perego,B,,,,,,
Casa Ponte,B,,,,,,
Casa Prinetti,B,,,,,,
Casa Professa del Gesù,B,,,,,,
Casa Provenzali,B,,,,,,
Casa provinciale della Compagnia di Gesù,B,,,,,,
Casa Pucci,B,,,,,,
Casa Rabia,B,,,,,,
Casa Ramelli,B,,,,,,
Casa Rangoni,B,,,,,,
Casa Ricciarelli,B,,,,,,
Casa Ristori Ciocca,B,,,,,,
Casa Romagnoli,B,,,,,,
Casa Romei,B,,,,,,
Casa Rosselli del Turco,B,,,,,,
Casa Steccanella,B,,,,,,
Casa Tartini,B,,,,,,
Casa Varrini (ex Zanelli),B,,,,,,
Casa Vasari,B,,,,,,
Casa Vasconcellas,B,,,,,,
Casa Verdi,B,,,,,,
Casa Vinci,B,,,,,,
Casa Zanchetta,B,,,,,,
Cascina Corio,B,,,,,,
Casina degli specchi,B,,,,,,
Casina del Cardinal Bessarione (ex Convento di S. Cesario),B,,,,,,
Casino,B,,,,,,
Casino di Pio IV,B,,,,,,
Casino di Sopra,B,,,,,,
Casino di Villa Sforza,B,,,,,,
Casino Ludovisi//Casino dell'Aurora,B,,,,,,
Casino Marsigli agli Alemanni,B,,,,,,
Casino Mediceo di S. Marco,B,,,,,,
Cassa di Risparmio,C,,,,,,
Cassa di Risparmio della Marca Trevigiana,C,,,,,,
Cassa di Risparmio della Provincia dell’Aquila,C,,,,,,
Cassa di Risparmio della Provincia di Macerata,C,,,,,,
Cassa di Risparmio delle Province Siciliane,C,,,,,,
Cassa di Risparmio di Carpi,C,,,,,,
Cassa di Risparmio di Cento,C,,,,,,
Cassa di Risparmio di Genova e Imperia,C,,,,,,
Cassa di Risparmio di Mirandola,C,,,,,,
Cassa di Risparmio di Ravenna,C,,,,,,
Cassa di Risparmio di Roma - Banco di S. Spirito,C,,,,,,
Cassa di Risparmio di San Miniato,C,,,,,,
Cassa di Risparmio di Savona,C,,,,,,
Cassa di Risparmio di Torino,C,,,,,,
Cassa di Risparmio di Venezia,C,,,,,,
Cassa di Risparmio di Viterbo,C,,,,,,
Castel Capuano//La Vicaria,B,,,,,,
Castel d'Appiano,B,,,,,,
Castel del Monte,B,,,,,,
Castel Nuovo,B,,,,,,
Castel Sant'Angelo,B,,,,,,
Castel Taranto,B,,,,,,
Castello,B,,,,,,
Castello Borsarelli di Rifreddo,B,,,,,,
Castello Brandolini,B,,,,,,
"Castello Brunszvik, collezione Dreher",B,C,,,,,
Castello Bufalini,B,,,,,,
Castello Caetani,B,,,,,,
Castello dei conti Guidi,B,,,,,,
Castello dei Rossi,B,,,,,,
Castello del Buonconsiglio,B,,,,,,
"Castello del Catajo, collezione Obizzi",B,C,,,,,
Castello del Trebbio,B,,,,,,
"Castello del Trebbio, collezione conte Baldini",B,C,,,,,
Castello della Manta,B,,,,,,
"Castello di Beaumesnil, collezione J.R. Fürstemberg",B,C,,,,,
Castello di Belcaro,B,,,,,,
"Castello di Belcaro, collezione Camaiori",B,C,,,,,
Castello di Birlighoven,B,,,,,,
Castello di Brdo,B,,,,,,
Castello di Brolio,B,,,,,,
Castello di Fala,B,,,,,,
Castello di Fénis,B,,,,,,
"Castello di Fürstenau, collezione Erbach-Fürstenau",B,C,,,,,
"Castello di Gallico, collezione Salini",B,C,,,,,
Castello di Konopište,B,,,,,,
Castello di Kynžvart,B,,,,,,
Castello di Lombrici,B,,,,,,
Castello di Malpaga,B,,,,,,
"Castello di Masnago, Civico Museo d'Arte Moderna e Contemporanea",B,M,,,,,
Castello di Montegufoni,B,,,,,,
"Castello di Padernello, collezione Salvadego",B,C,,,,,
Castello di Racconigi,B,,,,,,
Castello di S. Salvatore,B,,,,,,
Castello di S. Severa,B,,,,,,
Castello di Statenberg,B,,,,,,
Castello di Strmec,B,,,,,,
Castello di Strmol (Dvorec Strmol),B,,,,,,
Castello di Torrechiara,B,,,,,,
Castello di Trausnitz,B,,,,,,
"Castello di Villandry, collezione J. Carvallo",B,C,,,,,
Castello di Vincigliata,B,,,,,,
"Castello di Vincigliata, collezione J. Temple Leader",B,C,,,,,
Castello di Vurberg,B,,,,,,
Castello Estense,B,,,,,,
"Castello Estense, appartamento della Via Coperta",B,B,,,,,
"Castello Hompos, collezione Pallavicini",B,C,,,,,
Castello Mantegazza,B,,,,,,
Castello Orsini,B,,,,,,
Castello Reale,B,,,,,,
Castello Reale (Zamek Królewski),B,,,,,,
Castello Reale di Wawel-Collezioni Statali d'Arte (Zamek Królewski na Wawelu-Panstwowe Zbiory Sztuki),B,M,,,,,
Castello Ruspoli,B,,,,,,
Castello Sforzesco,B,,,,,,
"Castello Sforzesco, Civico Gabinetto dei Disegni",B,M,,,,,
"Castello Sforzesco, Museo d'Arte Antica",B,M,,,,,
"Castello Sforzesco, Pinacoteca",B,M,,,,,
Castello Vitelleschi,B,,,,,,
"Castello, collezione Cini",B,C,,,,,
"Castello, collezione Ramunni",B,C,,,,,
"Castle Howard, collezione conte di Carlisle",B,C,,,,,
"Castle Leslie, collezione Lady Leslie",B,C,,,,,
Catacomba di S. Casto,B,,,,,,
Catacomba di S. Ermete,B,,,,,,
Catacombe di S. Valentino,B,,,,,,
Catedral Vieja,B,,,,,,
Catelani,A,,,,,,
Cathedral Church of St. John the Divine,B,,,,,,
Cathedral Museum,M,,,,,,
Cathedral of the Immaculate Conception,B,,,,,,
Cathédrale de Notre-Dame,B,,,,,,
Cathédrale de Notre-Dame et de-St-Etienne,B,,,,,,
Cathédrale Notre-Dame-du-Puy,B,,,,,,
Cathédrale Saint André,B,,,,,,
Cathédrale St. Michel,B,,,,,,
Catholic Church,B,,,,,,
Cattedrale,B,,,,,,
Cattedrale dei Santi Erasmo e Marciano e di Santa Maria Assunta,B,,,,,,
Cattedrale dei SS. Florido e Amanzio,B,,,,,,
Cattedrale dei SS. Giacomo e Mariano,B,,,,,,
Cattedrale dei SS. Giovanni e Paolo,B,,,,,,
Cattedrale dei SS. Giusto e Mauro,B,,,,,,
Cattedrale dei SS. Pietro e Donato,B,,,,,,
Cattedrale dei SS. Pietro e Francesco,B,,,,,,
Cattedrale dei SS. Pietro e Marco,B,,,,,,
Cattedrale dei SS. Pietro e Paolo,B,,,,,,
Cattedrale dei SS. Stefano e Agata,B,,,,,,
Cattedrale del SS. Salvatore,B,,,,,,
Cattedrale dell'Annunziata,B,,,,,,
Cattedrale di S. Agata,B,,,,,,
Cattedrale di S. Agostino,B,,,,,,
Cattedrale di S. Ambrogio,B,,,,,,
Cattedrale di S. Andrea,B,,,,,,
Cattedrale di S. Antonio Abate,B,,,,,,
Cattedrale di S. Bartolomeo,B,,,,,,
Cattedrale di S. Benedetto,B,,,,,,
Cattedrale di S. Berardo,B,,,,,,
Cattedrale di S. Catervo,B,,,,,,
Cattedrale di S. Cerbone,B,,,,,,
Cattedrale di S. Cesareo,B,,,,,,
Cattedrale di S. Ciriaco,B,,,,,,
Cattedrale di S. Clemente,B,,,,,,
Cattedrale di S. Colomba,B,,,,,,
Cattedrale di S. Cristoforo,B,,,,,,
Cattedrale di S. Croce,B,,,,,,
Cattedrale di S. Donato,B,,,,,,
Cattedrale di S. Emidio,B,,,,,,
Cattedrale di S. Eusebio,B,,,,,,
Cattedrale di S. Feliciano,B,,,,,,
Cattedrale di S. Flaviano,B,,,,,,
Cattedrale di S. Gerlando,B,,,,,,
Cattedrale di S. Giacomo,B,,,,,,
Cattedrale di S. Giorgio,B,,,,,,
Cattedrale di S. Giorgio (ex),B,,,,,,
Cattedrale di S. Giovanni Battista,B,,,,,,
Cattedrale di S. Giovanni Battista (Katedra sw. Jana Chrzciciela),B,,,,,,
Cattedrale di S. Giovanni Evangelista,B,,,,,,
Cattedrale di S. Giovenale,B,,,,,,
Cattedrale di S. Giusto,B,,,,,,
Cattedrale di S. Leopardo,B,,,,,,
Cattedrale di S. Liberatore,B,,,,,,
Cattedrale di S. Lorenzo,B,,,,,,
Cattedrale di S. Maria,B,,,,,,
Cattedrale di S. Maria Annunziata,B,,,,,,
Cattedrale di S. Maria Assunta,B,,,,,,
Cattedrale di S. Maria Assunta e S. Giovanni Battista,B,,,,,,
Cattedrale di S. Maria Assunta e S. Gottardo,B,,,,,,
Cattedrale di S. Maria Assunta in Cielo,B,,,,,,
"Cattedrale di S. Maria Assunta, Libreria Piccolomini",B,B,,,,,
Cattedrale di S. Maria de Episcopio,B,,,,,,
Cattedrale di S. Maria del Fiore,B,,,,,,
Cattedrale di S. Maria Maggiore,B,,,,,,
Cattedrale di S. Maria Maggiore (Velika Gospa),B,,,,,,
Cattedrale di S. Maria Matricolare,B,,,,,,
Cattedrale di S. Martino,B,,,,,,
Cattedrale di S. Massimo,B,,,,,,
Cattedrale di S. Matteo,B,,,,,,
Cattedrale di S. Nicola di Bari,B,,,,,,
Cattedrale di S. Nicola Pellegrino,B,,,,,,
Cattedrale di S. Panfilo,B,,,,,,
Cattedrale di S. Paolo,B,,,,,,
Cattedrale di S. Patrizio,B,,,,,,
Cattedrale di S. Pietro,B,,,,,,
Cattedrale di S. Pietro Apostolo,B,,,,,,
Cattedrale di S. Romolo,B,,,,,,
Cattedrale di S. Rufino,B,,,,,,
Cattedrale di S. Sabino,B,,,,,,
Cattedrale di S. Secondiano,B,,,,,,
Cattedrale di S. Severino//Duomo Vecchio,B,,,,,,
Cattedrale di S. Stefano,B,,,,,,
Cattedrale di S. Venanzio,B,,,,,,
Cattedrale di S. Vigilio,B,,,,,,
Cattedrale di S. Vito,B,,,,,,
Cattedrale di S. Zeno,B,,,,,,
Cattedrale di St.e-Marie-Majeure//La Major,B,,,,,,
Cattedrale vecchia di S. Giovanni,B,,,,,,
Cecchini,A,,,,,,
Cecconi,A,,,,,,
Cecil Higgins Art Gallery,M,,,,,,
Cella del Cimitero,B,,,,,,
Cenacolo di S. Apollonia,B,,,,,,
Cenacolo di S. Spirito,B,,,,,,
Central Museum and Art Gallery,M,,,,,,
Central Picture Gallery,M,,,,,,
"Centre national d’art et de culture Georges Pompidou, Musée National d’Art Moderne",B,M,,,,,
Centro Artistico Internazionale,M,,,,,,
"Centro culturale ""Le cappuccine"", Pinacoteca",M,M,,,,,
Centro federale di raccolta delle opere d'arte,M,,,,,,
Centro Internazionale dell'Arte e del Costume di Palazzo Grassi,M,,,,,,
Centro pastorale Paolo VI,B,,,,,,
Centro Storico Fiat,B,,,,,,
Cera,A,,,,,,
Certosa,A,,,,,,
Certosa del Galluzzo,B,,,,,,
"Certosa del Galluzzo, Capitolo",B,B,,,,,
"Certosa del Galluzzo, Chiesa dei Monaci",B,B,,,,,
"Certosa del Galluzzo, Chiesa di S. Maria",B,B,,,,,
Certosa di Banda,B,,,,,,
Certosa di Garegnano,B,,,,,,
"Certosa di Garegnano, Chiesa di S. Maria Assunta",B,B,,,,,
Certosa di Maggiano,B,,,,,,
Certosa di Pavia,B,,,,,,
Certosa di Pleterje (Kartuzija Pleterje),B,,,,,,
Certosa di Pontignano,B,,,,,,
Certosa di S. Lorenzo,B,,,,,,
Certosa di S. Martino,B,,,,,,
"Certosa di S. Martino, Chiesa di S. Martino",B,B,,,,,
Certosa di Vedana,B,,,,,,
Certosa e Museo di S. Martino,B,,,,,,
"Certosa, Chiesa della Madonna",B,B,,,,,
"Chambord, conte di",C,,,,,,
Channing Blake,C,,,,,,
Chapelle de l'Ancien couvent de la Visitation,B,,,,,,
Chapelle des Pénitents Blancs,B,,,,,,
Charles Beddington Ltd,A,,,,,,
"Charlton Park, Lord Suffolk",B,C,,,,,
Château - Musée,B,M,,,,,
"Château de Biarge, collezione Condé",B,C,,,,,
"Château de Cheseaux, collezione Radcliffe",B,C,,,,,
"Château de Commarin, collezione de Vogüé",B,C,,,,,
Château de Fontainebleau,B,,,,,,
"Château de Grange Blanche, collezione Chalandon",B,C,,,,,
"Château de la Boissière, collezione M.me Douine",B,C,,,,,
"Château de la Muette, Collezione S. Érard",B,C,,,,,
Château de la Rochelambert,B,,,,,,
"Château de Villandry, collezione J. Carvallo",B,C,,,,,
"Château des Granges, collezione contessa Szimanska de Slepovron",B,C,,,,,
"Château Pregny, collezione Rothschild",B,C,,,,,
"Château Royal de Blois, Musée des Beaux-Arts et Archéologique",B,M,,,,,
"Chatsworth House, collezione duca del Devonshire",B,C,,,,,
Chaucer Fine Arts,A,,,,,,
"Chazen Museum of Art, University of Wisconsin",M,B,,,,,
"Chequers Court, collezione Lord Lee of Fareham",B,C,,,,,
Cheremetev,C,,,,,,
Chester D. Tripp,A,,,,,,
Chesterwood Museum,M,,,,,,
Chiesa,B,,,,,,
Chiesa abbaziale di S. Daniele,B,,,,,,
Chiesa Collegiata di S. Elpidio Abate,B,,,,,,
Chiesa Collegiata di S. Maria Maggiore,B,,,,,,
Chiesa degli Agostiniani,B,,,,,,
Chiesa degli angeli custodi,B,,,,,,
Chiesa degli Eremitani//Chiesa dei SS. Filippo e Giacomo,B,,,,,,
Chiesa degli Scalzi,B,,,,,,
Chiesa degli Scalzi//Chiesa di S. Teresa,B,,,,,,
Chiesa degli Zoccolanti,B,,,,,,
Chiesa dei Cappuccini,B,,,,,,
Chiesa dei Cappuccini di Sarrià,B,,,,,,
Chiesa dei Cappuccini//Chiesa del Crocifisso,B,,,,,,
Chiesa dei Carmini,B,,,,,,
Chiesa dei Celestini,B,,,,,,
Chiesa dei Domenicani,B,,,,,,
Chiesa dei francescani,B,,,,,,
Chiesa dei Francescani,B,,,,,,
Chiesa dei Gesuiti,B,,,,,,
Chiesa dei Gesuiti (ex chiesa di S. Maria dei Crociferi),B,,,,,,
Chiesa dei Girolamini,B,,,,,,
Chiesa dei Minori Conventuali,B,,,,,,
Chiesa dei Minori Osservanti,B,,,,,,
Chiesa dei Morti,B,,,,,,
Chiesa dei Padri Minori Riformati,B,,,,,,
Chiesa dei Padri Riformati,B,,,,,,
Chiesa dei santi Jacopo e Lucia,B,,,,,,
Chiesa dei Servi di Maria,B,,,,,,
Chiesa dei Serviti,B,,,,,,
Chiesa dei SS. Abbondio e Abbondanzio,B,,,,,,
Chiesa dei SS. Ambrogio e Carlo al Corso,B,,,,,,
Chiesa dei SS. Anastasio e Vincenzo,B,,,,,,
Chiesa dei SS. Andrea e Bartolomeo,B,,,,,,
Chiesa dei SS. Andrea e Lucia,B,,,,,,
Chiesa dei SS. Angeli Custodi,B,,,,,,
Chiesa dei SS. Anna e Biagio,B,,,,,,
Chiesa dei SS. Antonio e Cristoforo,B,,,,,,
Chiesa dei SS. Antonio e Francesco,B,,,,,,
Chiesa dei SS. Apollinare e Cristoforo,B,,,,,,
Chiesa dei SS. Apostoli,B,,,,,,
Chiesa dei SS. Apostoli Giacomo e Filippo,B,,,,,,
Chiesa dei SS. Bartolomeo e Alessandro dei Bergamaschi,B,,,,,,
Chiesa dei SS. Bartolomeo e Jacopo,B,,,,,,
Chiesa dei SS. Biagio e Carlo ai Catinari,B,,,,,,
Chiesa dei SS. Biagio e Romualdo,B,,,,,,
Chiesa dei SS. Biagio e Savino,B,,,,,,
Chiesa dei SS. Cosma e Damiano,B,,,,,,
Chiesa dei SS. Crisante e Daria,B,,,,,,
Chiesa dei SS. Cristoforo e Vito,B,,,,,,
"Chiesa dei SS. Dionisio, Rustico e Eleuterio//Chiesa di S. Antonio",B,,,,,,
Chiesa dei SS. Domenico e Giacomo,B,,,,,,
Chiesa dei SS. Domenico e Michele Arcangelo,B,,,,,,
Chiesa dei SS. Domenico e Sisto,B,,,,,,
Chiesa dei SS. Faustino e Giovita,B,,,,,,
Chiesa dei SS. Felice e Fortunato,B,,,,,,
Chiesa dei SS. Fermo e Rustico,B,,,,,,
Chiesa dei SS. Filippo e Giacomo,B,,,,,,
Chiesa dei SS. Filippo e Giacomo//Chiesa di S. Francesco,B,,,,,,
Chiesa dei SS. Gervasio e Protasio,B,,,,,,
Chiesa dei SS. Giacomo e Biagio,B,,,,,,
Chiesa dei SS. Giacomo e Cristoforo,B,,,,,,
Chiesa dei SS. Giacomo e Donato,B,,,,,,
Chiesa dei SS. Giacomo e Pietro Apostoli,B,,,,,,
Chiesa dei SS. Giovanni Battista e Andrea,B,,,,,,
Chiesa dei SS. Giovanni Battista e Giovanni Bono,B,,,,,,
Chiesa dei SS. Giovanni Battista e Giovanni Evangelista,B,,,,,,
Chiesa dei SS. Giovanni Battista e Stefano,B,,,,,,
Chiesa dei SS. Giovanni e Andrea Apostoli,B,,,,,,
Chiesa dei SS. Giovanni e Paolo,B,,,,,,
"Chiesa dei SS. Giovanni e Reparata, Battistero di S. Giovanni",B,B,,,,,
Chiesa dei SS. Girolamo e Francesco Saverio,B,,,,,,
Chiesa dei SS. Giuseppe e Bernardo,B,,,,,,
Chiesa dei SS. Giuseppe e Teresa,B,,,,,,
Chiesa dei SS. Giusto e Clemente,B,,,,,,
Chiesa dei SS. Gregorio e Siro,B,,,,,,
Chiesa dei SS. Gregorio Magno e Valentino,B,,,,,,
Chiesa dei SS. Ippolito e Cassiano,B,,,,,,
Chiesa dei SS. Ippolito e Lorenzo,B,,,,,,
Chiesa dei SS. Jacopo e Cristoforo,B,,,,,,
Chiesa dei SS. Jacopo e Filippo,B,,,,,,
Chiesa dei SS. Jacopo e Lucia de foris Portam,B,,,,,,
Chiesa dei SS. Jacopo e Maria Assunta,B,,,,,,
Chiesa dei SS. Leonardo e Cristoforo,B,,,,,,
Chiesa dei SS. Lorenzo e Agnese,B,,,,,,
Chiesa dei SS. Luca e Martina,B,,,,,,
Chiesa dei SS. Ludovico e Alessio (ex),B,,,,,,
Chiesa dei SS. Ludovico e Andrea a Cennano,B,,,,,,
Chiesa dei SS. Marcellino e Pietro,B,,,,,,
Chiesa dei SS. Maria e Cipriano,B,,,,,,
Chiesa dei SS. Maria e Egidio,B,,,,,,
Chiesa dei SS. Marino e Bartolomeo (Chiesa di S. Rita),B,,,,,,
Chiesa dei SS. Martino e Giorgio,B,,,,,,
Chiesa dei SS. Martino e Giusto,B,,,,,,
Chiesa dei SS. Martino e Nicola,B,,,,,,
